record_id,station_id,station_name,measured_at,temperature_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_direction,pm10_ugm3,pm25_ugm3,rainfall_mm,battery_pct,status
1,ST-08,논산관측소,2025-11-02 08:00:00,7.1,75.4,1021.7,9.14,NW,36.3,21.2,0.0,36.6,normal
2,ST-02,유성관측소,2025-02-18 23:30:00,-5.3,95.1,1003.5,0.93,NE,10.0,10.8,0.0,76.2,normal
3,ST-08,논산관측소,2025-01-07 17:30:00,3.3,44.2,1016.3,0.12,W,24.3,7.7,0.0,98.7,점검중
4,ST-05,청주관측소,2025-03-10 13:30:00,10.7,73.1,1010.6,0.36,N,59.4,35.9,0.0,68.6,점검중
5,ST-03,신탄진관측소,2025-10-02 18:00:00,22.5,74.3,1018.7,1.93,W,22.3,,0.0,51.2,ERROR
6,ST-02,유성관측소,23-Jul-2025 18:30:00,21.5,65.0,1005.3,0.23,남서,79.1,38.5,0.0,83.0,점검중
7,ST-11,당진관측소,2025-01-11 19:30:00,3.2,86.1,1019.8,1.48,SE,9.4,4.7,0.0,95.0,OK
8,ST-05,청주관측소,2025-08-26 18:30:00,23.0,73.0,1013.8,1.9,동,39.8,25.6,0.0,68.0,점검
9,ST-08,논산관측소,2025-08-05 17:00:00,28.6,59.3,1012.2,4.44,북,76.6,52.0,0.0,77.5,점검중
10,ST-03,신탄진관측소,2025/03/03 18:00,9.8,66.6,1000.0,1.24,N,31.0,22.3,0.0,72.2,점검중
11,ST-09,보령관측소,2025-07-14 09:30:00,21.9,67.6,1003.9,2.4,W,27.5,16.6,1.5,86.8,정상
12,ST-03,신탄진관측소,2025-06-21 04:00:00,20.7,78.4,1009.6,2.36,E,72.7,37.4,0.0,98.9,OK
13,ST-08,논산관측소,2025-05-23 12:00:00,22.4,63.2,1010.6,2.23,N,36.0,26.1,0.0,36.7,정상
14,ST-12,아산관측소,2025-08-31 05:00:00,19.1,74.9,1015.2,3.15,SE,33.1,23.5,0.0,65.7,점검중
15,ST-11,당진관측소,2025-07-14 22:00:00,18.5,74.0,1007.9,2.95,NW,101.3,65.7,0.0,86.4,OK
16,ST-06,천안관측소,2025-03-11 14:30:00,10.8,86.3,1011.5,6.07,N,19.3,11.7,0.0,68.4,NORMAL
17,ST-12,아산관측소,2025-07-03 23:00:00,23.8,68.9,1013.6,4.95,SW,25.5,13.1,0.0,91.3,정상
18,ST-11,당진관측소,2025-07-20 17:30:00,26.3,67.8,1014.5,1.18,E,15.1,9.6,0.0,85.3,NORMAL
19,ST-08,논산관측소,2025-03-10 22:30:00,5.1,87.5,1020.1,5.6,남,8.9,4.5,0.0,69.5,정상
20,ST-10,서산관측소,30-Jan-2025 12:30:00,5.1,99.0,1009.8,1.4,SE,16.9,12.5,0.0,86.6,normal
